"","SVL","FIXTL","TAL","TLL"
"anmest",51.643,87.8,25,41.071
"anmone",54.48906286,99.48431564,26.07559971,42.30900722
"annobl",165.5,319,67.5,107
"anoccu",37.7,43,10.7,17
"anolss",46.462,141.417,16.538,35.769
"anopal",47.786,78.7,22.286,34.071
"anophio",38,89,14,24.111
"anpater",47,84,16.5,26
"anpogu",42.521082,102.5140641,19.55048316,34.63968534
"anponc",43.875,112.1,17.188,31.188
"anporc",70,140.125,27.5,41.45
"anpulch",43.567,113.2,17.567,32.533
"anpum",35.5,70.4,13.929,19.929
"anrich",93.59715615,199.7367002,44.61187147,76.24867208
"anroque",70.03534198,127.103282,30.69193756,48.0864292
"ansagr",57,116,24.5,41.75
"ansemil",41.8,129,16,34.5
"ansing",46,77,18,27
"anstra",44.45,71.7,21.5,32.75
"anstrat",74.333,141.5,39,65.333
"anstrint",68.64854929,140.3304502,29.93415092,45.69550801
"anvalen",72.7,90.5,26,38.7
"anvanid",37.75,96.6,12.125,25.625
"anverm",119.25,194.75,49.75,90.125
"anwatt",49.00880618,97.61195737,22.35388206,38.05376393
"basbas",167,464.98,74.79,157.34
"basgal",158.89,496.97,77.52,168.72
"basplum",176.73,NA,86.42,182.11
"basvitt",161.37,394.85,71.08,155.39
"brafas",176.84,432.57,91.35,132.21
"calldrac",72.865,101.085,39.25,67.055
"chamad",69.79,107.35,28.52,55.65
"cmbarbo",38.75,87.1,16.8,28.35
"cmporc",148.8333333,158,59.5,75.83333333
"consub",161.51,223.98,80.27,112.5
"cophtex",77.065,97.41,41.43,66.845
"corcris",116.67,241.88,61.57,108.9
"corhern",96.18,253.16,52.92,101.27
"corperc",92.23,225.68,52.66,90.64
"crotcol",107.6,222.31,54.81,99.38
"ctenads",63.81,91.76,29.54,46.15
"ctspect",255.41,516.7,117.66,167.53
"ctssim",201.1,NA,86.64,153.76
"cycnub",189.04,320.94,88.38,140.1
"dipalto",91.17,96.39,40.96,57.57
"dipdar",86.18,80.84,36.29,53.56
"dipsdor",131.11,239,44.51,86.91
"enylat",159.25,275.06,74.27,114.34
"ensleec",82.94,187.14,45.94,86.07
"gamwis",100.62,206.54,41.7,84.41
"hollac",59.74,63.65,32.395,50.905
"holmac",55.835,57.525,27.375,41.125
"holprop",58.015,85.5,27.925,47.785
"hopspin",89.34,41.16,35.89,41.83
"igig",362.9,900.59,186.3,249.32
"laelong",113.94,397.98,62.33,110.69
"laeserr",111.7,437.98,72.62,122.28
"leiocar",95.05,NA,45.47,73.81
"leiopers",72.78,NA,29.32,54.38
"leioschr",76.36,117.28,30.8,59.29
"leabell",81.99,88.4,36.89,51.08
"leacat",97.35,117.61,48.27,64.34
"lioaba",55.5,88.58,22.62888889,39.1
"lioalb",79.537,112.61,29.605,48.548
"lioalt",47.47454545,86.56,18.16,30.40909091
"lioand",66.724,73.521,27.421,41.687
"lioaud",54.714,51.334,27.888,39.158
"liobel",54.06642857,75.51111111,18.06928571,34.06785714
"liobib",51.56416667,87.195,19.74416667,31.20666667
"liobit",49.6275,87.13,19.0325,30.8625
"liobuer",75.2,136.86,32.19,50.19
"liocanq",76.27625,112.21125,28.34375,48.1225
"liochac",43.186,72.01,18,30.008
"liochil",71.6475,130.1745455,24.4975,42.69875
"liocoer",62.81,NA,22.65,36.99
"liocuy",71.73,96.85571429,28.80375,47.3175
"liodar",54.85193548,87.50333333,18.19129032,35.80677419
"liodono",59.755,87.155,23.29,39.805
"liodorb",89.43666667,103.71,35.37666667,57.50888889
"lioelong",79.5325,133.4533333,32.5875,52.195
