species_complete,vocal_learning,log_adult_weight,log_weaning_days,female_maturity_log,male_maturity_log,max_longevity,average_maturity_log,avg_maturity_per_longevity
tremarctos ornatus,no_info,11.601394112957836,4.499809670330265,7.2868764117507,7.2868764117507,3.6635616461296463,7.2868764117507,1.9890142750699686
ursus americanus,no,11.946329941767635,5.288267030694535,7.15305163493748,7.15305163493748,3.5263605246161616,7.15305163493748,2.0284515962008953
ursus arctos,no_info,12.533576212168626,5.3612921657094255,7.180069874302796,7.180069874302796,3.6888794541139363,7.180069874302796,1.946409462172962
ursus maritimus,no_info,13.071070083016778,5.713732805509369,7.458186157340487,7.458186157340487,3.7796338173824005,7.458186157340487,1.973256277642706
ursus thibetanus,no_info,11.549739438092944,4.59511985013459,6.9985096422506015,6.9985096422506015,3.6686767467964168,6.9985096422506015,1.9076386733614186
arctictis binturong,no_info,9.413281215972873,4.3694478524670215,6.829793737512425,6.733401891837359,3.295836866004329,6.7815978146748925,2.057625450041308
arctogalidia trivirgata,no_info,7.718685495198466,4.110873864173311,6.9985096422506015,,2.7788192719904172,6.9985096422506015,2.5185191828749978
chrotogale owstoni,no_info,8.086410275323782,,,,,,
civettictis civetta,no_info,9.522717496039752,4.787491742782046,5.8998973535824915,5.3612921657094255,3.332204510175204,5.630594759645959,1.6897506567956444
cynogale bennettii,no_info,8.294049640102028,,,,,,
genetta abyssinica,no_info,7.408530566894626,,,,,,
genetta genetta,no_info,7.531927445038551,4.127134385045092,7.2991214627108,,3.122364924487357,7.2991214627108,2.3376900648181604
genetta maculata,no_info,7.707512194600341,,,,2.995732273553991,,
genetta pardina,no_info,7.600902459542082,,7.2868764117507,,,7.2868764117507,
genetta servalina,no_info,6.961296045910167,,,,,,
genetta tigrina,no_info,7.506591780070841,4.07753744390572,7.2868764117507,,3.0587070727153796,7.2868764117507,2.3823387589978484
hemigalus derbyanus,no_info,7.783224016336037,4.2626798770413155,,,2.772588722239781,,
paguma larvata,no_info,8.366370301681654,,,,3.3105430133940246,,
paradoxurus hermaphroditus,no_info,8.039157390473237,,5.831882477283517,,3.1986731175506815,5.831882477283517,1.823219273418336
prionodon linsang,no_info,6.551080335043404,,,,,,
viverra civettina,no_info,9.397732385583243,,5.8998973535824915,5.3612921657094255,2.7343675094195836,5.630594759645959,2.0591945816534185
viverra tangalunga,no_info,8.902455592206882,,,,2.70805020110221,,
viverra zibetha,no_info,9.210340371976184,3.4011973816621555,,,3.077312260546414,,
viverricula indica,no_info,8.006367567650246,4.859812404361672,,,,,
balaena mysticetus,yes,18.420680743952367,,9.013351778138825,9.013351778138825,5.351858133476067,9.013351778138825,1.6841537188289768
eubalaena australis,no_info,17.622173047734595,,8.09712193091871,,4.248495242049359,8.09712193091871,1.9058799573970755
eubalaena glacialis,no_info,16.951004773893423,5.3612921657094255,7.979338895262328,7.979338895262328,4.204692619390966,7.979338895262328,1.8977222873471558
balaenoptera acutorostrata,no_info,15.830413578506539,5.209486152841421,7.9157131993821155,7.9157131993821155,3.912023005428146,7.9157131993821155,2.0234321701070344
balaenoptera borealis,no_info,16.811242831518264,5.583496308781699,8.20303024171486,8.20303024171486,4.30406509320417,8.20303024171486,1.9058796891029584
balaenoptera edeni,no_info,16.588099280204055,5.6131281063880705,8.04044688130311,8.04044688130311,4.276666119016055,8.04044688130311,1.8800735567248346
balaenoptera musculus,no_info,18.728165443700327,5.204006687076795,7.510430556378006,7.510430556378006,4.700480365792417,7.510430556378006,1.5978006441713712
balaenoptera physalus,no_info,18.064005800013632,5.209486152841421,7.901377353792616,7.9599745280805365,4.736198448394496,7.930675940936576,1.6744813434971169
megaptera novaeangliae,yes,17.216707939626428,,7.404279118037268,7.404279118037268,4.553876891600541,7.404279118037268,1.6259286964244004
cephalorhynchus commersonii,no_info,10.819778284410283,,7.60489448081162,7.60489448081162,,7.60489448081162,
cephalorhynchus hectori,no_info,10.933106969717286,,7.947678571301568,7.947678571301568,,7.947678571301568,
delphinus delphis,no_info,11.289781913656018,5.84354441703136,7.469654172932128,7.367077059881012,3.2188758248682006,7.41836561640657,2.304644857404625
globicephala macrorhynchus,no_info,14.603967918328545,6.593044534142437,8.151909872940905,8.5814816812986,4.143134726391533,8.366695777119752,2.0194119500445824
globicephala melas,no_info,13.87377946608825,6.699500340161678,7.8119734296220225,8.384804003370492,4.0943445622221,8.098388716496258,1.9779450882612246
grampus griseus,yes,12.959844447906553,,8.20303024171486,8.20303024171486,3.7495040759303713,8.20303024171486,2.1877640550849184
lagenodelphis hosei,no_info,12.007621706806335,,7.880804344674901,,,7.880804344674901,
lagenorhynchus acutus,no_info,12.245293358683455,6.306275286948016,7.7102051944325325,,3.295836866004329,7.7102051944325325,2.3393770711048307
lagenorhynchus obliquidens,no_info,11.542484267211773,,8.251142139090751,,3.828641396489095,8.251142139090751,2.155109681114856
orcaella brevirostris,no_info,12.154779351142624,6.154858094016418,7.509883061154913,7.509883061154913,3.4011973816621555,7.509883061154913,2.2080115378322605
orcinus orca,yes,15.198675026075238,6.154858094016418,8.237479288613633,8.503094267036737,4.499809670330265,8.370286777825186,1.8601424040254675
peponocephala electra,no_info,12.235631447771718,,8.364042011922063,7.80994708647679,3.8501476017100584,8.086994549199426,2.10043753792908
pseudorca crassidens,no_info,13.525158256956614,6.593044534142437,8.151333337900432,8.81818627792769,4.135166556742356,8.484759807914061,2.051854427502981
sotalia fluviatilis,no_info,10.75078612720879,,7.692569648067906,7.692569648067906,,7.692569648067906,
sousa chinensis,no_info,12.542544882151386,5.0106352940962555,8.151909872940905,8.42639282708974,,8.289151350015324,
stenella attenuata,no_info,11.630708500626612,6.297109319933935,8.000684784514748,8.282988692742602,3.828641396489095,8.141836738628676,2.126560284829712
stenella coeruleoalba,no_info,11.630708500626612,,7.949444420250626,8.014666370464942,4.051784947803305,7.982055395357785,1.9700096372798106
steno bredanensis,no_info,11.643953727376633,,8.202482446576537,7.915348169263078,3.4657359027997265,8.058915307919808,2.325311429936012
tursiops aduncus,no_info,,,,,,,
tursiops truncatus,yes,12.206072645530174,,7.9483852851118995,8.213110697596676,3.9435216724875173,8.080747991354288,2.049119711381494
eschrichtius robustus,no_info,17.16541464523888,5.19295685089021,7.980023592310645,7.980023592310645,4.343805421853684,7.980023592310645,1.8371042938901334
inia geoffrensis,no_info,11.33857207782545,,7.509883061154913,7.509883061154913,3.4436180975461075,7.509883061154913,2.1808118230376334
lipotes vexillifer,no_info,11.332601910838946,,7.979338895262328,,3.1780538303479458,7.979338895262328,2.5107626620624983
pontoporia blainvillei,no_info,10.60905725309463,5.765191102784844,6.815639990074331,6.815639990074331,,6.815639990074331,
delphinapterus leucas,yes,14.17318500223609,,7.404887575616125,7.733245646529795,3.6888794541139363,7.5690666110729605,2.0518606544954285
monodon monoceros,no_info,14.038654109278484,,7.692113339595466,7.980023592310645,3.912023005428146,7.836068465953056,2.0030732066452783
neophocaena phocaenoides,no_info,10.388995368317829,5.768320995793772,7.691656822810547,7.286191714702382,3.4965075614664802,7.488924268756465,2.1418298508170577
phocoena phocoena,no_info,10.868568448579715,5.493061443340548,6.961296045910167,7.2868764117507,3.0155349008501706,7.124086228830434,2.362461872625629
phocoenoides dalli,no_info,11.695247021764184,5.71042701737487,7.509883061154913,7.772752716468742,3.091042453358316,7.641317888811828,2.472084419452016
kogia breviceps,no_info,12.958902828251293,,,,2.833213344056216,,
platanista gangetica,no_info,11.156250521031495,5.8998973535824915,8.20303024171486,8.20303024171486,,8.20303024171486,
berardius bairdii,no_info,16.24736798666246,,8.38548870041881,7.980023592310645,4.430816798843313,8.182756146364728,1.8467827756951893
hyperoodon ampullatus,no_info,15.687312734865866,5.8998973535824915,8.20303024171486,8.097730573664219,3.6109179126442243,8.15038040768954,2.257149180586365
mesoplodon densirostris,no_info,13.899851706398024,,8.097730573664219,8.097730573664219,,8.097730573664219,
mesoplodon europaeus,no_info,15.538277155705378,,,,3.871201010907891,,
ziphius cavirostris,no_info,14.809132632774753,,,,4.127134385045092,,
saccopteryx bilineata,yes,2.066862759472976,4.0943445622221,5.8998973535824915,,1.791759469228055,5.8998973535824915,3.29279540859597
taphozous georgianus,no_info,3.195811885269649,,5.627621113690637,6.411818267709897,1.3862943611198906,6.019719690700267,4.34230987265746
taphozous hilli,no_info,3.09058780456667,,,,2.174751721484161,,
hipposideros fulvus,no_info,1.9459101490553132,,6.333279628139691,6.333279628139691,2.5649493574615367,6.333279628139691,2.469163615147385
macroderma gigas,no_info,5.0106352940962555,,5.8998973535824915,5.8998973535824915,3.1179499062782403,5.8998973535824915,1.89223609452563
megaderma lyra,no_info,3.653252276470785,,6.29156913955832,6.1092475827643655,2.6390573296152584,6.200408361161343,2.3494784639882322
molossus molossus,no_info,2.6390573296152584,,4.634728988229636,,1.7227665977411035,4.634728988229636,2.690282592143768
mormopterus planiceps,no_info,2.174751721484161,,5.932245187448011,,,5.932245187448011,
tadarida brasiliensis,no_info,2.5257286443082556,,5.60947179518496,6.304448802421981,2.4849066497880004,5.95696029880347,2.397257176365836
tadarida teniotis,no_info,3.5553480614894135,,5.8998973535824915,,2.5649493574615367,5.8998973535824915,2.3002003280959378
mystacina tuberculata,no_info,3.1570004211501135,,,,2.028148247292285,,
noctilio leporinus,no_info,3.912023005428146,,5.8998973535824915,5.8998973535824915,2.468099531471619,5.8998973535824915,2.3904616804755205
anoura geoffroyi,no_info,2.7212954278522306,,,,2.302585092994046,,
artibeus jamaicensis,no_info,3.742420221041966,,5.666426688112432,5.666426688112432,2.954910279033736,5.666426688112432,1.9176307072055567
artibeus lituratus,no_info,4.174387269895637,,5.662960480135946,5.8998973535824915,,5.781428916859219,
carollia perspicillata,no_info,2.70805020110221,,5.552959584921617,5.552959584921617,2.833213344056216,5.552959584921617,1.9599510910716071
desmodus rotundus,no_info,3.502549875922443,5.6131281063880705,5.652489180268651,5.652489180268651,3.374168709274236,5.652489180268651,1.6752242307067298
diphylla ecaudata,no_info,3.332204510175204,,,,2.0794415416798357,,
glossophaga soricina,no_info,2.302585092994046,4.110873864173311,,,2.3978952727983707,,
leptonycteris curasoae,no_info,3.2188758248682006,,,,2.312535423847214,,
macrotus californicus,no_info,2.451005098112319,,4.787491742782046,5.8998973535824915,2.833213344056216,5.343694548182269,1.8860897148436697
macrotus waterhousii,no_info,2.772588722239781,,4.51085950651685,,2.341805806147327,4.51085950651685,1.9262312420080592
phyllostomus discolor,yes,3.770459441106359,,,,2.1972245773362196,,
phyllostomus hastatus,yes,4.394449154672439,,6.593044534142437,6.593044534142437,2.8903717578961645,6.593044534142437,2.2810368652859254
platyrrhinus lineatus,no_info,3.091042453358316,,,,2.5649493574615367,,
sturnira lilium,no_info,2.995732273553991,,5.666426688112432,5.666426688112432,2.4849066497880004,5.666426688112432,2.2803378503558123
cynopterus brachyotis,no_info,3.8066624897703196,,5.3612921657094255,5.3612921657094255,2.312535423847214,5.3612921657094255,2.3183610985686847
cynopterus sphinx,no_info,4.31748811353631,3.7376696182833684,5.0106352940962555,6.263398262591624,2.302585092994046,5.6370167783439395,2.4481252812308187
dobsonia moluccensis,no_info,6.063785208687608,5.19295685089021,6.5722825426940075,,2.509599262378372,6.5722825426940075,2.6188573774385757
eidolon helvum,no_info,5.724401761858937,4.174387269895637,,,3.0819099697950434,,
epomophorus gambianus,no_info,4.382026634673881,,,,2.0541237336955462,,
epomophorus wahlbergi,no_info,4.382026634673881,,5.497168225293202,,2.312535423847214,5.497168225293202,2.3771174134698976
haplonycteris fischeri,no_info,2.8903717578961645,4.248495242049359,4.787491742782046,5.752572638825633,2.302585092994046,5.270032190803839,2.288745899918612
hypsignathus monstrosus,no_info,5.799092654460526,,5.19295685089021,6.040254711277414,,5.616605781083813,
pteropus alecto,no_info,6.51040713897592,,,,3.0106208860477417,,
pteropus conspicillatus,no_info,6.6537658474968255,,6.626717749249025,,,6.626717749249025,
pteropus dasymallus,no_info,6.075346031088684,,,,3.1780538303479458,,
pteropus giganteus,no_info,7.069023426578259,4.787491742782046,5.8998973535824915,5.8998973535824915,3.784189633918261,5.8998973535824915,1.559091357552704
pteropus hypomelanus,no_info,6.1092475827643655,,5.934894195619588,5.8998973535824915,3.0106208860477417,5.91739577460104,1.9655067836751876
pteropus livingstonii,no_info,6.54606779321986,,,,2.70805020110221,,
pteropus lylei,no_info,5.757954953544594,,,,3.0155349008501706,,
pteropus niger,no_info,6.123150487933357,,,,2.9652730660692823,,
pteropus poliocephalus,no_info,6.51471269087253,,6.29156913955832,6.29156913955832,3.1612467120315646,6.29156913955832,1.9902176934223095
pteropus pselaphon,no_info,5.772966438994861,,,,2.8154087194227095,,
pteropus pumilus,no_info,5.298317366548036,,,,2.8449093838194073,,
pteropus rodricensis,no_info,5.857933154483459,,6.626717749249025,,3.332204510175204,6.626717749249025,1.9886887881622244
pteropus scapulatus,no_info,5.703782474656201,,6.29156913955832,6.29156913955832,2.760009940032921,6.29156913955832,2.2795458263760007
pteropus vampyrus,no_info,6.77078942390898,,,,3.039749158970765,,
pteropus voeltzkowi,no_info,6.268148865350222,,,,,,
rousettus aegyptiacus,yes,4.8283137373023015,4.804021044733257,5.8998973535824915,5.8998973535824915,3.131136910560194,5.8998973535824915,1.8842668085462084
rousettus lanosus,no_info,4.634728988229636,,,,2.928523523860541,,
rousettus leschenaultii,no_info,4.684443366882599,,5.0106352940962555,6.12029741895095,2.6390573296152584,5.565466356523602,2.1088842194023036
rhinolophus euryale,no_info,2.1041341542702074,,6.710523109452428,6.710523109452428,2.5649493574615367,6.710523109452428,2.61624000096971
rhinolophus ferrumequinum,yes,3.130044611161585,,6.593044534142437,6.593044534142437,3.417726683613366,6.593044534142437,1.9290730782404137
rhinolophus hipposideros,no_info,1.5260563034950492,3.5553480614894135,6.214608098422191,6.154858094016418,3.380994674344636,6.184733096219304,1.8292643709703973
rhinolophus megaphyllus,no_info,2.2823823856765264,4.110873864173311,6.593044534142437,6.593044534142437,,6.593044534142437,
antrozous pallidus,no_info,3.0349529867072724,3.912023005428146,5.8998973535824915,5.8998973535824915,2.6946271807700692,5.8998973535824915,2.1895041346300164
barbastella barbastellus,no_info,2.327277705584417,,6.306275286948016,,3.1354942159291497,6.306275286948016,2.011254001015358
chalinolobus gouldii,no_info,2.7644305345383176,,5.8998973535824915,,2.0541237336955462,5.8998973535824915,2.8722210141489706
chalinolobus morio,no_info,2.187174241482718,,,,2.2617630984737906,,
corynorhinus rafinesquii,no_info,2.4069451083182885,,5.204006687076795,5.204006687076795,,5.204006687076795,
corynorhinus townsendii,no_info,2.6567569067146595,3.7376696182833684,5.3471075307174685,,3.0204248861443626,5.3471075307174685,1.7703163403421585
eptesicus fuscus,no_info,3.1354942159291497,,6.304448802421981,6.593044534142437,2.9444389791664403,6.448746668282209,2.1901444431046846
eptesicus nilssonii,no_info,2.5649493574615367,,,,2.995732273553991,,
eptesicus serotinus,no_info,2.9014215940827497,,,,3.044522437723423,,
falsistrellus tasmaniensis,no_info,3.11529150861163,,,,1.791759469228055,,
lasionycteris noctivagans,no_info,2.302585092994046,3.58351893845611,5.0238805208462765,5.0238805208462765,2.4849066497880004,5.0238805208462765,2.021758250465823
lasiurus cinereus,no_info,3.1780538303479458,3.5263605246161616,,,2.6390573296152584,,
miniopterus australis,no_info,2.0014800002101243,,6.267200548541362,6.459904454377535,,6.3635525014594485,
miniopterus schreibersii,no_info,2.5649493574615367,,6.3578422665081,6.593044534142437,3.091042453358316,6.475443400325268,2.09490600599481
myotis adversus,no_info,2.3427668826268775,,5.442417710521793,,2.0794415416798357,5.442417710521793,2.6172496804720193
myotis bechsteinii,no_info,2.3513752571634776,,,,3.044522437723423,,
myotis blythii,no_info,3.1354942159291497,,6.042632833682381,6.218600119691729,3.4965075614664802,6.130616476687055,1.7533542739189145
myotis brandtii,no_info,1.9459101490553132,,,,3.713572066704308,,
myotis dasycneme,no_info,2.70805020110221,,,,3.0204248861443626,,
myotis daubentonii,no_info,2.1400661634962708,,6.593044534142437,6.593044534142437,3.332204510175204,6.593044534142437,1.9785834014718926
myotis emarginatus,no_info,2.3978952727983707,,6.1224928095143865,6.1224928095143865,3.122364924487357,6.1224928095143865,1.9608511361046637
myotis evotis,no_info,2.0014800002101243,,,,3.091042453358316,,
myotis grisescens,no_info,2.224623551524334,,6.1224928095143865,6.1224928095143865,2.803360380906535,6.1224928095143865,2.1839834975246846
myotis keenii,no_info,2.0014800002101243,,5.8998973535824915,5.8998973535824915,2.9444389791664403,5.8998973535824915,2.0037424430689783
myotis leibii,no_info,1.7227665977411035,,,,2.4849066497880004,,
myotis lucifugus,no_info,2.302585092994046,3.2188758248682006,5.3471075307174685,5.3471075307174685,3.5263605246161616,5.3471075307174685,1.5163246903971885
myotis macropus,no_info,2.3427668826268775,,5.442417710521793,,,5.442417710521793,
myotis myotis,no_info,3.351656936102019,,6.218600119691729,6.218600119691729,3.6136169696133895,6.218600119691729,1.7208797091621582
